nick,rating,rd,vol,last_game
avinster,1534.83,259.26,0.06,2
Damian,1674.17,259.26,0.06,0
Dziku,1500.0,370.0,0.06,9
Etoo,1500.0,370.0,0.06,9
jakób,1500.0,370.0,0.06,9
Janek,1500.0,370.0,0.06,9
kellutek,1500.0,370.0,0.06,9
Krzysztof_Szpila,1397.27,221.41,0.06,3
LopSucks,1500.0,370.0,0.06,9
Lormd,1500.0,370.0,0.06,9
Maciuś,1500.0,370.0,0.06,9
Maggnan,1500.0,370.0,0.06,9
Malkie,1500.0,370.0,0.06,9
marines,1328.78,221.41,0.06,6
Marnypopis,1500.0,370.0,0.06,9
Michal_Bl,1465.76,221.41,0.06,2
Patryk,1604.5,259.26,0.06,6
PL_Fox6,1500.0,370.0,0.06,9
Popkhorne,1482.09,266.67,0.06,0
Quamar,1500.0,370.0,0.06,9
Renegade_Jedi,1500.0,370.0,0.06,9
sebastian_krok,1604.5,259.26,0.06,3
seig,1500.0,370.0,0.06,9
Shomrey,1500.0,370.0,0.06,9
Silvaron,1500.0,370.0,0.06,9
SirMario0,1517.61,227.74,0.06,0
soskas_,1500.0,370.0,0.06,9
Strigoi,1674.17,259.26,0.06,6
Szymon,1328.78,221.41,0.06,0
Świnia,1397.27,221.41,0.06,6
Velthael (Gunnar),1500.0,370.0,0.06,9
#history
2025-04-03 07:54:25,Patryk,Świnia,16,4,80,45
2025-04-03 20:06:29,Strigoi,marines,20,0,90,27
2025-04-06 20:16:14,sebastian_krok,Krzysztof_Szpila,16,4,82,50
2025-04-07 20:20:03,avinster,Michal_Bl,12,8,81,66
2025-04-09 20:39:16,Damian,Szymon,20,0,90,20
2025-04-09 20:41:25,Popkhorne,SirMario0,9,11,53,63
